,country,year,sex_code,sex_label,cancer_code,cancer_site,cases_per_100k
317,Iceland,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",31.0
318,Italy,2002,F,Female,CICDTUME,Malignant neoplasms,231.7
319,Italy,2000,F,Female,CICDTUME,Malignant neoplasms,217.8
320,Slovenia,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,66.5
321,Slovenia,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,65.5
322,Italy,2012,F,Female,CICDTUME,Malignant neoplasms,255.2
323,Italy,2008,F,Female,CICDTUME,Malignant neoplasms,251.6
324,Luxembourg,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",30.9
325,Luxembourg,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",37.5
326,Luxembourg,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.3
327,Luxembourg,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",28.4
328,China (People’s Republic of),2012,_T,Total,CICDTUME,Malignant neoplasms,174.0
329,South Africa,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",11.9
330,Australia,2008,M,Male,CICDTUME,Malignant neoplasms,360.5
331,Australia,2002,M,Male,CICDTUME,Malignant neoplasms,347.2
332,Australia,2012,M,Male,CICDTUME,Malignant neoplasms,373.9
333,Israel,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,84.3
334,Israel,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,55.1
335,Australia,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",19.2
336,Australia,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.8
337,Australia,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",21.5
338,Greece,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",17.5
339,Greece,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",15.5
340,United Kingdom,2012,F,Female,CICDTUME,Malignant neoplasms,267.3
341,United Kingdom,2008,F,Female,CICDTUME,Malignant neoplasms,249.5
342,United Kingdom,2002,F,Female,CICDTUME,Malignant neoplasms,260.6
343,United Kingdom,2000,F,Female,CICDTUME,Malignant neoplasms,234.3
344,Greece,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",13.5
345,Greece,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",13.3
346,United Kingdom,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",30.2
347,United Kingdom,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",29.3
348,United Kingdom,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.9
349,United Kingdom,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",30.3
350,Lithuania,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,48.7
351,Portugal,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",36.0
352,Portugal,2000,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",40.6
353,Portugal,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.8
354,Portugal,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",40.6
355,Luxembourg,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,8.7
356,Luxembourg,2000,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,3.6
357,Luxembourg,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,4.9
358,Luxembourg,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.3
359,Lithuania,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,60.9
360,Costa Rica,2012,M,Male,CICDTUME,Malignant neoplasms,193.5
361,Japan,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,9.8
362,Japan,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,8.0
363,Netherlands,2000,F,Female,CICDTUME,Malignant neoplasms,253.4
364,Netherlands,2012,F,Female,CICDTUME,Malignant neoplasms,289.6
365,Netherlands,2008,F,Female,CICDTUME,Malignant neoplasms,271.3
366,Japan,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,10.9
367,Netherlands,2002,F,Female,CICDTUME,Malignant neoplasms,251.4
368,Russia,2012,M,Male,CICDTUME,Malignant neoplasms,245.8
369,Czechia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,14.1
370,Slovak Republic,2002,_T,Total,CICDTUME,Malignant neoplasms,263.0
371,Latvia,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",20.2
372,Portugal,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,55.5
373,Portugal,2000,F,Female,CICDMNBR,Malignant neoplasms of female breast,55.3
374,Portugal,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,67.6
375,Portugal,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,60.0
376,Slovenia,2012,F,Female,CICDTUME,Malignant neoplasms,251.5
377,Slovenia,2008,F,Female,CICDTUME,Malignant neoplasms,231.8
378,Russia,2012,_T,Total,CICDTUME,Malignant neoplasms,204.3
379,Austria,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.8
380,Austria,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,10.9
381,Latvia,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",58.0
382,Denmark,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",37.6
383,Denmark,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.3
384,Denmark,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",29.8
385,Denmark,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",27.7
386,Austria,2000,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,11.9
387,Austria,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,5.8
388,Colombia,2012,_T,Total,CICDTUME,Malignant neoplasms,160.6
389,Portugal,2002,F,Female,CICDTUME,Malignant neoplasms,191.1
390,Portugal,2000,F,Female,CICDTUME,Malignant neoplasms,192.8
391,Italy,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",26.6
392,Italy,2000,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",24.0
393,Italy,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",27.5
394,Italy,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",29.9
395,Portugal,2012,F,Female,CICDTUME,Malignant neoplasms,198.1
396,Portugal,2008,F,Female,CICDTUME,Malignant neoplasms,190.8
397,Spain,2000,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.0
398,Spain,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",43.9
399,Spain,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",39.7
400,Spain,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",36.8
401,South Africa,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",11.2
402,Australia,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.0
403,Australia,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.9
404,Australia,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.1
405,United Kingdom,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,8.3
406,United Kingdom,2000,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,9.3
407,United Kingdom,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.1
408,United Kingdom,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.2
409,Czechia,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",38.9
410,Czechia,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",43.0
411,Norway,2002,M,Male,CICDTUME,Malignant neoplasms,311.5
412,Norway,2008,M,Male,CICDTUME,Malignant neoplasms,341.1
413,Norway,2012,M,Male,CICDTUME,Malignant neoplasms,368.7
414,Czechia,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",45.3
415,Austria,2000,M,Male,CICDTUME,Malignant neoplasms,281.9
416,Austria,2012,M,Male,CICDTUME,Malignant neoplasms,295.2
417,Austria,2008,M,Male,CICDTUME,Malignant neoplasms,293.5
418,Austria,2002,M,Male,CICDTUME,Malignant neoplasms,312.9
419,Netherlands,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,96.8
420,Netherlands,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,86.7
421,Netherlands,2000,F,Female,CICDMNBR,Malignant neoplasms of female breast,91.6
422,Netherlands,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,99.0
423,Australia,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",33.3
424,Australia,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",32.9
425,Australia,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",39.5
426,Türkiye,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",11.0
427,Türkiye,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",8.8
428,Türkiye,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",16.6
429,Türkiye,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,4.2
430,Türkiye,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,4.5
431,Australia,2012,_T,Total,CICDTUME,Malignant neoplasms,323.0
432,Australia,2008,_T,Total,CICDTUME,Malignant neoplasms,314.1
433,Australia,2002,_T,Total,CICDTUME,Malignant neoplasms,312.0
434,China (People’s Republic of),2012,F,Female,CICDTUME,Malignant neoplasms,139.9
435,Türkiye,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,4.3
436,Korea,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,20.4
437,Latvia,2012,_T,Total,CICDTUME,Malignant neoplasms,246.8
438,Korea,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,52.1
439,Korea,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,38.9
440,Russia,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,30.1
441,Australia,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",38.7
442,Australia,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.7
443,Australia,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",38.4
444,Italy,2000,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.3
445,Colombia,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",7.1
446,Italy,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.5
447,Italy,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",45.2
448,Italy,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",39.3
449,India,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",3.1
450,India,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",11.0
451,Sweden,2002,F,Female,CICDTUME,Malignant neoplasms,251.8
452,Sweden,2000,F,Female,CICDTUME,Malignant neoplasms,250.1
453,Mexico,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,23.3
454,Mexico,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,19.2
455,Mexico,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,29.5
456,Sweden,2012,F,Female,CICDTUME,Malignant neoplasms,248.7
457,Sweden,2008,F,Female,CICDTUME,Malignant neoplasms,240.7
458,Italy,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",10.7
459,Italy,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",9.0
460,Italy,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",13.2
461,Italy,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",11.4
462,Chile,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",15.7
463,Chile,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",14.4
464,New Zealand,2008,M,Male,CICDTUME,Malignant neoplasms,337.6
465,New Zealand,2002,M,Male,CICDTUME,Malignant neoplasms,363.1
466,New Zealand,2012,M,Male,CICDTUME,Malignant neoplasms,320.1
467,Australia,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.9
468,Australia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,5.5
469,Netherlands,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",62.0
470,Sweden,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,119.0
471,Sweden,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,114.2
472,Sweden,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,90.9
473,Sweden,2000,M,Male,CICDMNPR,Malignant neoplasms of prostate,70.0
474,Netherlands,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",44.4
475,Netherlands,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",46.1
476,Korea,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",45.0
477,Korea,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.2
478,Ireland,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",27.4
479,Ireland,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",24.4
480,Ireland,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",19.7
481,Ireland,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",18.7
482,Korea,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",20.3
483,Latvia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,17.3
484,Denmark,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",45.3
485,Denmark,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",46.8
486,Denmark,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",41.6
487,Denmark,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",43.4
488,Hungary,2008,M,Male,CICDTUME,Malignant neoplasms,358.4
489,Hungary,2002,M,Male,CICDTUME,Malignant neoplasms,386.8
490,Hungary,2012,M,Male,CICDTUME,Malignant neoplasms,356.1
491,Czechia,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",15.8
492,Czechia,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",13.3
493,Czechia,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",17.8
494,Germany,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,81.8
495,Germany,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,79.8
496,Germany,2000,F,Female,CICDMNBR,Malignant neoplasms of female breast,73.7
497,Germany,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,91.6
498,Poland,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,44.3
499,Poland,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,24.1
500,Luxembourg,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",12.2
501,Luxembourg,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",18.5
502,Luxembourg,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",18.2
503,Luxembourg,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",13.6
504,Poland,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,35.9
505,Israel,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",14.4
506,Israel,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.1
507,Slovak Republic,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",42.1
508,Slovak Republic,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.0
509,Slovak Republic,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",42.7
510,Hungary,2008,F,Female,CICDTUME,Malignant neoplasms,238.5
511,Hungary,2002,F,Female,CICDTUME,Malignant neoplasms,250.7
512,Hungary,2012,F,Female,CICDTUME,Malignant neoplasms,236.5
513,Türkiye,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,28.3
514,Türkiye,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,22.0
515,Türkiye,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,39.1
516,Ireland,2002,_T,Total,CICDTUME,Malignant neoplasms,254.3
517,Ireland,2000,_T,Total,CICDTUME,Malignant neoplasms,254.6
518,Ireland,2012,_T,Total,CICDTUME,Malignant neoplasms,307.9
519,Ireland,2008,_T,Total,CICDTUME,Malignant neoplasms,317.0
520,Russia,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,45.6
521,Norway,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",26.1
522,Norway,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",24.7
523,Norway,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",18.7
524,Russia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,15.3
525,Switzerland,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",44.6
526,Switzerland,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",48.5
527,Italy,2002,M,Male,CICDTUME,Malignant neoplasms,321.3
528,Italy,2000,M,Male,CICDTUME,Malignant neoplasms,290.5
529,Italy,2012,M,Male,CICDTUME,Malignant neoplasms,312.9
530,Italy,2008,M,Male,CICDTUME,Malignant neoplasms,310.0
531,China (People’s Republic of),2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",16.9
532,Switzerland,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",35.1
533,Switzerland,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",38.4
534,Belgium,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",12.2
535,Belgium,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",11.2
536,Belgium,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",19.8
537,Belgium,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.2
538,South Africa,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,31.7
539,Indonesia,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",10.1
540,Greece,2002,_T,Total,CICDTUME,Malignant neoplasms,203.0
541,Greece,2000,_T,Total,CICDTUME,Malignant neoplasms,191.5
542,Greece,2012,_T,Total,CICDTUME,Malignant neoplasms,163.0
543,Greece,2008,_T,Total,CICDTUME,Malignant neoplasms,162.0
544,Japan,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,22.7
545,Japan,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,12.6
546,Portugal,2000,_T,Total,CICDTUME,Malignant neoplasms,231.6
547,Portugal,2012,_T,Total,CICDTUME,Malignant neoplasms,246.2
548,Portugal,2008,_T,Total,CICDTUME,Malignant neoplasms,223.2
549,Portugal,2002,_T,Total,CICDTUME,Malignant neoplasms,237.9
550,Mexico,2012,_T,Total,CICDTUME,Malignant neoplasms,131.5
551,Mexico,2008,_T,Total,CICDTUME,Malignant neoplasms,128.4
552,Mexico,2002,_T,Total,CICDTUME,Malignant neoplasms,147.3
553,Japan,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,30.4
554,Costa Rica,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",7.3
555,Germany,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",45.5
556,Germany,2000,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",45.0
557,Belgium,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",56.6
558,Belgium,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",58.0
559,Belgium,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",75.3
560,Belgium,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",76.4
561,Germany,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",39.7
562,Germany,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",45.2
563,Portugal,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.6
564,Portugal,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",24.1
565,Portugal,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",21.1
566,Slovak Republic,2012,_T,Total,CICDTUME,Malignant neoplasms,276.9
567,Slovak Republic,2008,_T,Total,CICDTUME,Malignant neoplasms,260.6
568,Poland,2002,M,Male,CICDTUME,Malignant neoplasms,301.8
569,Poland,2012,M,Male,CICDTUME,Malignant neoplasms,269.2
570,Indonesia,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",12.8
571,New Zealand,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",44.1
572,New Zealand,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",53.0
573,New Zealand,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.5
574,Australia,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,84.8
575,Australia,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,83.2
576,Australia,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,86.0
577,Poland,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.9
578,Poland,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",27.7
579,Poland,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",27.0
580,France,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,91.9
581,France,2000,F,Female,CICDMNBR,Malignant neoplasms of female breast,83.2
582,France,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,89.7
583,France,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,99.7
584,Portugal,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",28.6
585,Portugal,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.4
586,India,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,25.8
587,Portugal,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.7
588,Portugal,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.4
589,India,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",6.9
590,Germany,2008,F,Female,CICDTUME,Malignant neoplasms,245.7
591,Germany,2002,F,Female,CICDTUME,Malignant neoplasms,248.9
592,Germany,2000,F,Female,CICDTUME,Malignant neoplasms,235.3
593,Germany,2012,F,Female,CICDTUME,Malignant neoplasms,252.5
594,China (People’s Republic of),2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",11.6
595,China (People’s Republic of),2012,M,Male,CICDTUME,Malignant neoplasms,211.2
596,Brazil,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.3
597,Lithuania,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",26.2
598,Türkiye,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",5.3
599,Türkiye,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",8.8
600,Türkiye,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",5.2
601,Australia,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",25.6
602,Australia,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",28.2
603,Australia,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",27.0
604,Finland,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.3
605,Finland,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.2
606,Finland,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.5
607,Finland,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.2
608,Costa Rica,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",15.9
609,United States,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",25.0
610,United States,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",33.1
611,United States,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",22.0
612,Mexico,2008,M,Male,CICDTUME,Malignant neoplasms,132.9
613,Mexico,2002,M,Male,CICDTUME,Malignant neoplasms,144.5
614,Mexico,2012,M,Male,CICDTUME,Malignant neoplasms,123.9
615,China (People’s Republic of),2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,22.1
616,Austria,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",28.5
617,Austria,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",27.0
618,China (People’s Republic of),2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.5
619,Austria,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",27.5
620,Austria,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",25.1
621,Slovak Republic,2012,M,Male,CICDTUME,Malignant neoplasms,338.2
622,Slovak Republic,2008,M,Male,CICDTUME,Malignant neoplasms,320.2
623,France,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",53.5
624,France,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",52.0
625,France,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",47.7
626,France,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",52.6
627,Slovak Republic,2002,M,Male,CICDTUME,Malignant neoplasms,319.0
628,Korea,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",53.3
629,Korea,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",45.5
630,Korea,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,9.5
631,Korea,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,10.8
632,Korea,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",46.4
633,Korea,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,17.9
634,France,2012,_T,Total,CICDTUME,Malignant neoplasms,303.5
635,France,2008,_T,Total,CICDTUME,Malignant neoplasms,300.4
